_id,co_name,Total Population,Proportion of population within 1km,Proportion of population within 5km,Proportion of population within 10km
1,American Samoa,55519,60.5,100,100
2,Cook Islands,14974,90.7,100,100
3,Fiji,837271,27.2,76.3,91.1
4,Federated States of Micronesia,102843,88.5,100,100
5,Guam,159358,30.2,97.1,100
6,Kiribati (Gilbert),109693,100,100,100
7,Marshall Islands,53158,100,100,100
8,Northern Mariana,53883,69.1,100,100
9,New Caledonia,268767,57.1,90.4,94.3
10,Nauru,9945,92.5,100,100
11,Niue,1460,24.6,83,100
12,French Polynesia,268207,78.7,100,100
13,Papua New Guinea,5190786,8,21.1,29.8
14,Pitcairn,57,100,100,100
15,Palau,17661,93.4,100,100
16,Solomon Islands,515870,65,91.3,97.5
17,Tokelau,1411,100,100,100
18,Tonga,100691,84.2,100,100
19,Tuvalu,10640,100,100,100
20,Vanuatu,234023,64,94.3,98.7
21,Wallis and Futuna,12197,91.8,100,100
22,Samoa,187820,61.1,97.1,99.9
